wikidata_id,wikipedia_title,status,text
Q100139647,,no article,
Q100151423,Chicago no wave,section,
Q100330555,,no article,
Q100922002,Budots,ok,"Budots (boo-DOTS) is an electronic dance music (EDM) genre that originated in Davao City, Philippines, and is considered as street style techno. It eventually spread in Bisaya-speaking regions. Based on techno and house music with Visayan pop, it is regarded as the first ""Filipino-fied"" electronic music genre, characterized by its aggressive percussion, heavy use of sampling, off-beat basslines, high-pitched ""tiw ti-ti-tiw"" whistle hooks, and organic noises that surround the city. It is created to complement a form of freestyle street dance that bears the same name."
Q101002867,,no article,
Q101109587,Future rave,ok,"Future rave is a genre of EDM coined by disk jockey/producers David Guetta and Morten Breum. The sound is noted as a combination of techno and progressive house. In 2022, the pair went on a tour under the name Future Rave. The style was popularized by other EDM artists such as Hardwell."
Q101440473,Sierreño,ok,"Sierreño or sierreña, is a subgenre of regional Mexican music. It is derived from Norteño music and is based on melodic lines along with the composition of mainly guitar and sometimes accordion.

The genre is widely popular in Mexico and in Mexican-American communities in the United States. The genre experienced a rise in popularity among Generation Z. The repertoire of sierreño groups is different in tradition than that of norteño groups; it includes rancheras and corridos, also adaptations of ballads and almost all genres of Latin American music.

The instruments most widely used in sierreño music include the twelve-string guitar, acoustic guitar, and electric bass. Less common instruments include the button accordion, acoustic bass, tololoche, sousaphone, tenor horn, trombone, and alto saxophone."
Q1014887,Burger-highlife,ok,"Burger-Highlife is a subgenre of highlife music created by Ghanaian immigrants to Germany.

In the 1980s, reggae music was gaining popularity worldwide and was carrying with it a growing popularity for other forms of world music that were easy to dance to. Highlife music, often fused with reggae, gained a wider audience in Europe and North America at this time. During the late 1970s-early 1980s, there was a massive exodus of Ghanaians such as Seidu Mohammed to foreign lands. One of the countries that attracted Ghanaians was Germany. Burger-Highlife was born when Ghanaian musicians in Germany started collaborating with German musicians and producers. They created a crossover music style from highlife, disco and funk music.

Musicians associated with Burger Highlife include George Darko, Lee Dodou, Lumba Brothers, Rex Gyamfi and Charles Amoah."
Q1026089,Cajun music,ok,"Cajun music (French: Musique cadienne) is a traditional genre of music from Louisiana. An emblematic music of Louisiana played by the Cajuns, it is rooted in the ballads of the French-speaking Acadians of Canada. Although they are two separate genres, Cajun music is often mentioned in tandem with the Creole-based zydeco music. Both are from southwest Louisiana and share French and African origins. These French Louisiana sounds have influenced American popular music for many decades, especially country music, and have influenced pop culture through mass media, such as television commercials."
Q1026113,Cakewalk,ok,"The cakewalk was a dance developed from the ""prize walks"" (dance contests with a cake awarded as the prize) held in the mid-19th century, generally at get-togethers of African Americans on plantations before and after emancipation in the Southern United States. Alternative names for the original form of the dance were chalkline-walk, and the walk-around. It was originally a processional partner dance performed with comical formality.

Following an exhibition of the cakewalk at the 1876 Centennial Exposition in Philadelphia, the cakewalk was adopted by performers in minstrel shows, where it was danced exclusively by men until the 1890s. At that point, Broadway shows featuring women began to include cakewalks, and grotesque dances became very popular across the country. The fluid and graceful steps of the dance may have given rise to the colloquialism that something accomplished with ease is a ""cakewalk""."
Q10265571,Desgarrada,ok,"Desgarrada is a popular song from northern Portugal, in which singers improvise, challenge and respond to each other, usually to the sound of a concertina. In addition to the name Desgarradas, they are also called Cantares ao Desafio, Cantigas ao Desafio or Cantigas à Desgarrada.

The term is also used to characterise a form of fado interpretation, in this case with Portuguese guitar and viola accompaniment, with well-known interpreters such as Fernando Maurício or Vicente da Câmara. Among the artists who recorded desgarradas we can find names such as Quim Barreiros, Zé Amaro, Augusto Canário, or even Rosinha or Jorge Ferreira, who visited this genre several times."
Q10268931,,no article,
Q1027999,Trance music,ok,"Trance is a genre of electronic dance music that emerged from the techno and EBM scene in Frankfurt, Germany, in the late 1980s and early 1990s, and quickly spread throughout Europe.

Trance music is typically characterized by a tempo between 120 and 150 beats per minute (BPM), repeating melodic phrases and a musical form that distinctly builds tension and elements throughout a track often culminating in 1 to 2 ""peaks"" or ""drops"". Although trance is a genre of its own, it liberally incorporates influences from other musical styles such as techno, house, chill-out, classical music, tech house, ambient and film scores."
Q10283582,,no article,
Q10283584,,no article,
Q10285947,,no article,
Q10285948,,no article,
Q10286190,,no article,
Q10286515,Funk melody,ok,Funk melody (Brazilian Portuguese: [ˈfɐ̃k(i) ˈmɛlodʒi]) is a fusion genre of funk carioca and Latin freestyle.
Q10292943,Guitarrada,ok,"Guitarrada, also called lambada instrumental (""instrumental lambada""), is an instrumental musical genre that emerged in the state of Pará, Brazil, originating from the fusion of choro with carimbó, merengue, cumbia, mambo, bolero, Jovem Guarda, brega, among others. In this style, the electric guitar is predominantly solo."
Q10296747,,no article,
Q1033073,Candombe,ok,"Candombe is a style of music and dance that originated in Uruguay, among the descendants of liberated African slaves. In 2009, the United Nations Educational, Scientific and Cultural Organization (UNESCO) inscribed candombe in its Representative List of the Intangible Cultural Heritage of Humanity.

To a lesser extent, candombe is practiced in Argentina, Paraguay, and Brazil. In Argentina, it can be found in Buenos Aires, Santa Fe, Paraná, and Corrientes. In Paraguay, this tradition continues in Camba Cuá and in Fernando de la Mora near Asunción. In Brazil, candombe retains its religious character and can be found in the states of Minas Gerais and Rio Grande do Sul.

This Uruguayan music style is based on three different drums: chico, repique, and piano drums. It is usually played in February during carnival in Montevideo at dance parades called llamadas and desfile inaugural del carnaval."
Q10331354,,no article,
Q1034231,Cape jazz,ok,"Cape jazz is a genre of jazz that is performed in the very southern part of Africa, the name being a reference to Cape Town, South Africa. Some writers say that Cape jazz began to emerge in 1959 with the formation of The Jazz Epistles, many of whom were from Cape Town, including Abdullah Ibrahim, then known as Dollar Brand. Cape jazz is similar to the popular music style known as marabi, though more improvisational in character. Where marabi is a piano jazz style, Cape jazz in the beginning featured (though not exclusively) instruments that can be carried in a street parade, such as brass instruments, banjos, guitars and percussion instruments."
Q10343541,,no article,
Q10354439,Proibidão,ok,"Funk proibidão (Brazilian Portuguese: [ˈfɐ̃k(i) pɾo.ibiˈdɐ̃w]), or simply Proibidão, which literally translates to ""strongly prohibited"" or ""highly forbidden"", is a subgenre of funk carioca music originating from the favelas of Rio de Janeiro where it began in the early 1990s as a parallel phenomenon to the growth of drug gangs in the many slums of the city. The drug gangs sponsored DJs and baile funks in the favelas they controlled to spread respect and love for their gang as well as hate to the other gangs. The music that resulted is proibidão.

Proibidão is characterized as a raw mix of live funk vocals and Miami bass structures. The explicit lyrics typically promote the gang the MC is affiliated with, crime, drug use, and violence. Each drug gang sponsors their own baile funk at their own favela(s), which results in a unique sound that distinguishes each MC, and by extension, each gang."
Q1036183,Carimbó,ok,"Carimbó is a Brazilian dance, a type of percussion instrument, and a genre of music. It originated in the 17th century in the northern region of Brazil. The cultural hub of the dance is in the state of Pará, around the island of Marajó, in the capital city of Belém. The dance is named after the drum that accompanies it, which is derived from the Tupi word Korimbó, translating to ""wood that produces sound""."
Q10367217,Samba-choro,ok,"Samba-choro is a subgenre of samba that emerged in Rio de Janeiro in early 1930s in Brazil. It was a syncopated hybrid fusion of samba with the Brazilian instrumental genre choro, but with medium tempo and presence of lyrics.

Created by the Brazilian music industry, samba-choro was released with ""Amor em Excess"", by Gadé and Valfrido Silva, in 1932. One of the most popular songs of this subgenre is ""Carinhoso"", by Pixinguinha. Originally released as choro in 1917, this composition received lyrics and ended up relaunched two decades later, in the voice of Orlando Silva, with great commercial success. In the following decade, the cavaquinista Waldir Azevedo would popularize chorinho, a kind of fast-paced instrumental samba."
Q10367220,,no article,
Q10367222,Samba-joia,ok,"Samba-joia (lit. 'samba-jewel'; also sambão-joia or simply sambão) is an old pejorative term coined by Brazilian music critics to designate a more romantic type of samba born in the 1970s.

This is a format with a simpler rhythmic structure that dilutes the percussion, the main attribute of traditional samba. Described as an old-fashioned brega by critics, it was nevertheless a great commercial success for romantic artists such as Agepê, Benito di Paula, Gilson de Souza, Luiz Américo and Luiz Ayrão.

Certain critics point out that the movement influenced certain groups in the pagode romântico subgenre of the 1990s."
Q10367225,,no article,
Q10367246,Samba de breque,ok,"Samba de breque is a subgenre of samba that emerged in Rio de Janeiro between the late 1930s and early 1940s.

The main characteristic of the subgenre is ""breque"", a Brazilian term for ""brake"". In other words, it is a samba with sudden stops, usually of a humorous character, in which the singer makes spoken comments.

The singer Moreira da Silva consolidated himself as the great name of this style of samba. The first success of the subgenre was ""Acertei no milhar"", a samba by Wilson Batista and Geraldo Pereira."
Q10367249,,no article,
Q10367259,Sambalanço,ok,"Sambalanço (a portmanteau of samba and balanço, meaning swing or beat in Portuguese) is a musical genre derived from samba that developed from the early 1950s to the mid-1960s in Brazil, especially in its two largest centers, São Paulo and Rio de Janeiro, reflecting the changes that this genre underwent after World War II to respond to new cultural demands brought about by the country's urbanization. Having as its roots samba, especially samba-exaltação, modified through the infusion of new elements from American jazz and Caribbean rhythms - the latter especially in the role played by wind instruments - sambalanço artists developed an extremely rhythmic and danceable sound, with extroverted and humorous themes."
Q10370216,Seresta (music),ok,"Seresta is a traditional Brazilian music style from the first half of the 20th century. The musician who plays seresta is called a seresteiro.

In the 1960s, the Museum of Seresta and Serenata (Portuguese: Museu da Seresta e da Serenata) opened in Valença, Rio de Janeiro. The municipality also hosts events like the ""Seresteiros Festival""."
Q10370558,Sertanejo music,section,
Q10387147,,no article,
